Metro,ZIP_code,2015_households_all,2015_same_sex_couples,2015_gay_couples_per_1000_household,2015_bars,2026_bars,2024_households_all,2024_same_sex_couples,2024_gay_couples_per_1000_household
NYC,10707,4094,7,1.709819248,0,0,4002,14,3.498250875
NYC,10708,9175,20,2.179836512,0,0,9549,198,20.73515551
NYC,10709,3621,35,9.665838166,0,0,3628,0,0
NYC,10710,10204,19,1.862014896,0,0,10134,30,2.960331557
NYC,10801,14179,29,2.045278228,0,0,16497,140,8.486391465
NYC,10803,3899,8,2.051808156,0,0,4298,26,6.049325268
NYC,10804,5053,39,7.718187216,0,0,5506,16,2.905920814
NYC,10805,7740,17,2.196382429,0,0,8636,33,3.821213525
NYC,10913,1619,14,8.647313156,0,0,1458,24,16.46090535
NYC,10960,6143,129,20.99951164,0,0,6316,133,21.05763141
NYC,10962,1777,0,0,0,0,1768,17,9.615384615
NYC,10964,573,0,0,0,0,467,0,0
NYC,10965,5500,11,2,0,0,5743,110,19.15375239
NYC,10968,1172,0,0,0,0,1086,42,38.67403315
NYC,10976,661,0,0,0,0,552,0,0
NYC,10983,1897,0,0,0,0,2057,25,12.15362178
NYC,11001,9131,20,2.190340598,0,0,8638,25,2.89418847
NYC,11003,12042,50,4.152134197,0,0,12036,74,6.148222001
NYC,11004,4862,0,0,0,0,5173,90,17.39802822
NYC,11005,1522,0,0,0,0,1533,22,14.35094586
NYC,11010,7827,7,0.894340105,0,0,8455,60,7.096392667
NYC,11020,1958,0,0,0,0,1707,12,7.029876977
NYC,11021,7468,8,1.071237279,0,0,8165,35,4.2865891
NYC,11023,3021,0,0,0,0,3159,0,0
NYC,11024,2143,0,0,0,0,2284,0,0
NYC,11030,5962,0,0,0,0,6205,28,4.512489927
NYC,11040,12945,8,0.617999228,0,0,13916,50,3.59298649
NYC,11042,0,0,0,0,0,0,0,0
NYC,11050,11047,51,4.616638001,0,0,11637,41,3.523244823
NYC,11096,2507,0,0,0,0,2644,19,7.186081694
NYC,11101,11772,143,12.14746857,0,0,21165,536,25.32482873
NYC,11102,14039,75,5.342260845,0,0,13937,269,19.30114085
NYC,11103,16607,182,10.95923406,0,2,16701,442,26.46548111
NYC,11104,11540,88,7.625649913,0,0,12304,242,19.66840052
NYC,11105,15532,98,6.309554468,0,0,16200,371,22.90123457
NYC,11106,17004,145,8.527405316,1,1,19286,319,16.5404957
NYC,11109,2560,61,23.828125,0,0,4032,66,16.36904762
NYC,11201,25664,435,16.94981297,0,0,34022,1082,31.80295103
NYC,11203,27447,42,1.530221882,0,0,29238,327,11.18407552
NYC,11204,24480,40,1.633986928,0,0,24896,79,3.173200514
NYC,11205,15198,84,5.527043032,0,0,17962,509,28.3376016
NYC,11206,29525,199,6.740050804,1,3,34813,512,14.70714963
NYC,11207,32005,110,3.436962975,0,0,35658,379,10.62875091
NYC,11208,29806,76,2.549822183,0,0,34395,186,5.407762756
NYC,11209,30483,195,6.397008168,0,0,30410,305,10.02959553
NYC,11210,21925,56,2.554161916,0,0,20723,161,7.769145394
NYC,11211,37381,560,14.98087264,2,5,28139,787,27.96830022
NYC,11212,31443,47,1.494768311,0,0,33052,243,7.352051313
NYC,11213,24163,110,4.552414849,0,0,27360,356,13.01169591
NYC,11214,31512,47,1.491495303,0,0,30852,304,9.853494101
NYC,11215,29182,541,18.5388253,2,0,29788,1110,37.26332751
NYC,11216,23048,159,6.898646303,0,1,27134,674,24.83968453
NYC,11217,16797,271,16.13383342,0,0,20307,495,24.37583099
NYC,11218,24909,227,9.113171946,0,0,25661,468,18.23779276
NYC,11219,26390,14,0.530503979,0,0,24507,75,3.060350104
NYC,11220,29399,131,4.455933875,0,0,28420,340,11.96340605
NYC,11221,28918,311,10.75454734,1,2,36532,808,22.11759553
NYC,11222,16689,215,12.88273713,0,0,21316,492,23.08125352
NYC,11223,27532,17,0.617463315,0,0,26478,113,4.267693935
NYC,11224,18064,20,1.107174491,0,0,20478,31,1.513819709
NYC,11225,23133,105,4.538970302,0,0,25014,505,20.18869433
NYC,11226,36009,161,4.471104446,0,0,38130,595,15.60451088
NYC,11228,15285,24,1.57016683,0,0,15007,145,9.66215766
NYC,11229,30764,47,1.527759719,0,0,30523,191,6.257576254
NYC,11230,30653,61,1.99001729,0,0,31947,278,8.701912543
NYC,11231,15265,300,19.65280052,0,1,16783,703,41.88762438
NYC,11232,8784,59,6.716757741,1,0,9309,240,25.78150177
NYC,11233,26987,113,4.187201245,0,0,32948,474,14.38630569
NYC,11234,32185,38,1.180674227,0,0,29799,97,3.25514279
NYC,11235,32065,62,1.933572431,0,0,34870,221,6.337826212
NYC,11236,32442,76,2.342642254,0,0,31033,109,3.512390036
NYC,11237,16582,119,7.176456399,0,0,18228,373,20.46302392
NYC,11238,23310,398,17.07421707,1,0,27919,933,33.41810237
NYC,11239,6362,0,0,0,0,8244,0,0
NYC,11354,20006,19,0.949715085,0,0,21846,235,10.75711801
NYC,11355,27354,8,0.292461797,0,0,31078,223,7.175493919
NYC,11356,7712,0,0,0,0,8171,124,15.1756211
NYC,11357,14846,47,3.165835915,0,0,15962,211,13.21889488
NYC,11358,13114,15,1.143815769,0,0,13430,70,5.212211467
NYC,11359,0,0,0,0,0,0,0,0
NYC,11360,8567,16,1.86763161,0,0,8974,205,22.84377089
NYC,11361,10606,9,0.848576278,0,0,11234,70,6.231084209
NYC,11362,7068,42,5.942275042,0,0,7223,61,8.445244358
NYC,11363,2649,0,0,0,0,2865,24,8.376963351
NYC,11364,13205,80,6.058311246,0,0,13581,111,8.173183123
NYC,11365,15764,20,1.268713524,0,0,16384,65,3.967285156
NYC,11366,4191,12,2.863278454,0,0,4700,26,5.531914894
NYC,11367,14644,0,0,0,0,14458,82,5.671600498
NYC,11368,29095,29,0.996734834,0,0,30079,276,9.175836963
NYC,11369,11482,9,0.783835569,0,1,11066,67,6.054581601
NYC,11370,8809,10,1.135202634,0,0,9436,50,5.298855447
NYC,11371,0,0,0,0,0,0,0,0
NYC,11372,24793,172,6.93744202,0,4,25399,327,12.87452262
NYC,11373,31351,117,3.731938375,0,0,32577,166,5.095619609
NYC,11374,19483,93,4.773392188,0,0,19625,183,9.324840764
NYC,11375,32272,113,3.501487357,0,0,34061,461,13.53454097
NYC,11377,31455,143,4.546177078,0,0,33612,408,12.13852196
NYC,11378,12411,65,5.237289501,0,0,12890,72,5.585725369
NYC,11379,13528,70,5.174452986,0,0,14090,107,7.594038325
NYC,11385,34937,150,4.293442482,0,0,37778,606,16.04108211
NYC,11411,6022,10,1.660577881,0,0,6632,35,5.277442702
NYC,11412,10871,39,3.587526447,0,0,12127,78,6.431928754
NYC,11413,12339,5,0.405219224,0,0,14014,37,2.640216926
NYC,11414,10654,45,4.223765722,0,0,11346,78,6.874669487
NYC,11415,8250,26,3.151515152,0,0,9085,135,14.85965878
NYC,11416,7134,9,1.26156434,0,0,7535,80,10.61712011
NYC,11417,9450,14,1.481481481,0,0,9505,27,2.840610205
NYC,11418,11371,66,5.804238853,0,0,11643,174,14.94460191
NYC,11419,12357,10,0.80925791,0,0,13300,83,6.240601504
NYC,11420,13474,8,0.593736084,0,0,14001,187,13.35618884
NYC,11421,12228,12,0.981354269,0,0,12112,20,1.651254954
NYC,11422,9620,12,1.247401247,0,0,10325,96,9.297820823
NYC,11423,9793,25,2.552843868,0,0,9623,42,4.364543282
NYC,11424,0,0,0,0,0,0,0,0
NYC,11426,6191,18,2.907446293,0,0,6397,0,0
NYC,11427,7739,11,1.42137227,0,0,8321,18,2.163201538
NYC,11428,5620,5,0.889679715,0,0,5946,0,0
NYC,11429,7318,7,0.956545504,0,0,8136,18,2.212389381
NYC,11430,0,0,0,0,0,0,0,0
NYC,11432,18362,53,2.886395817,0,0,20793,133,6.396383398
NYC,11433,10394,15,1.443140273,0,0,11214,59,5.261280542
NYC,11434,20731,10,0.482369398,0,0,22851,166,7.264452322
NYC,11435,18486,84,4.543979228,0,0,20083,263,13.09565304
NYC,11436,5454,0,0,0,0,6568,82,12.48477467
NYC,11451,0,0,0,0,0,0,0,0
NYC,11501,7238,40,5.526388505,0,0,8753,53,6.055066834
NYC,11507,2362,0,0,0,0,2326,0,0
NYC,11509,892,8,8.968609865,0,0,792,3,3.787878788
NYC,11510,10657,71,6.662287698,0,0,11148,57,5.113024758
NYC,11514,1704,9,5.281690141,0,0,1745,0,0
NYC,11516,2255,0,0,0,0,3207,0,0
NYC,11518,3952,13,3.289473684,0,0,3991,28,7.015785517
NYC,11520,13456,38,2.824019025,0,0,14117,53,3.754338741
NYC,11530,9365,7,0.747463962,0,0,9512,58,6.097560976
NYC,11542,9709,30,3.089916572,0,0,11339,59,5.203280713
NYC,11545,4204,0,0,0,0,4503,7,1.554519209
NYC,11547,295,0,0,0,0,325,0,0
NYC,11548,419,0,0,0,0,410,0,0
NYC,11549,0,0,0,0,0,0,0,0
NYC,11550,16572,23,1.387883176,0,0,17895,119,6.649902207
NYC,11552,7163,38,5.305039788,0,0,7469,38,5.087695809
NYC,11553,6031,9,1.492289836,0,0,7200,83,11.52777778
NYC,11554,12318,8,0.649456081,0,0,11796,0,0
NYC,11556,0,0,0,0,0,0,0,0
NYC,11557,2363,5,2.115954295,0,0,2641,33,12.49526694
NYC,11558,3088,0,0,0,0,3259,7,2.147898128
NYC,11559,2737,0,0,0,0,2636,0,0
NYC,11560,2301,0,0,0,0,2434,0,0
NYC,11561,16199,77,4.753379838,0,0,16854,402,23.85190459
NYC,11563,8238,36,4.369992717,0,0,7886,28,3.550595993
NYC,11565,3191,24,7.521153243,0,0,3255,33,10.13824885
NYC,11566,10981,18,1.639194973,0,0,11613,45,3.874967709
NYC,11568,913,0,0,0,0,974,0,0
NYC,11569,536,0,0,0,0,463,0,0
NYC,11570,9945,7,0.703871292,0,0,10693,52,4.862994482
NYC,11572,10219,38,3.71856346,0,0,10522,78,7.413039346
NYC,11575,4282,20,4.670714619,0,0,4452,12,2.69541779
NYC,11576,4501,26,5.776494112,0,0,4327,0,0
NYC,11577,4114,5,1.215362178,0,0,4361,14,3.210272873
